Incident_ID,Weapon_Type,Weapon_Caliber,Weapon_Details
20240913GAMAM,Multiple Unknown,,Multiple guns including stolen gun
20240913GAFRA,Handgun,,
20240912MOTUS,Handgun,,
20240912OHTAC,Handgun,,
20240912DCKIW,Handgun,,
20240911GATRT,,Service Weapon,
20240910AZMAP,Handgun,,
20240910SCRIG,Other,Airsoft,Airsoft/BB gun
20240910NEOMO,Handgun,,
20240909TXSOD,Handgun,,
20240906WVMAM,Handgun,,
20240906MDJOJ,Handgun,,
20240904NYANB,Handgun,,
20240904KYCLC,Handgun,,
20240904GAAPW,Rifle,.223 caliber,AR-15
20240903LABEB,Handgun,,AR Pistol
20240903NYFAF,Handgun,,
20240902MDWHP,Handgun,,
20240830MIROR,Handgun,,
20240830NJPAW,Handgun,,
20240830PAWOC,Handgun,,
20240830GARIR,Handgun,,
20240826WIJAJ,Handgun,,
20240826NEWOW,Rifle,,
20240824NYPSB,Handgun,,
20240824NYPSB,Handgun,,
20240824NYPSB,Handgun,,
20240824NYPSB,Handgun,,
20240824ALCJC,Handgun,,
20240824ILGAC,Handgun,,
20240822MOHAL,Handgun,,
20240822TXFRE,Handgun,Service Weapon,
20240820LABAB,Multiple Handguns,,"Handguns, knives, bear spray, body armor"
20240820KSKAT,Other,Pellet,
20240819LABOB,Handgun,,
20240819CANAS,Handgun,,
20240819CADES,Handgun,,
20240819PAOLP,Handgun,,
20240816GAMUC,Handgun,,
20240816CASYS,Handgun,,
20240816GALAA,Handgun,,
20240811VAGAG,Handgun,,
20240809AZDOD,Handgun,,
20240809COCAC,Other,,Replica handgun and real handgun
20240730ORKLK,Handgun,,
20240730OKSOO,Handgun,,
20240727OHWAT,,,
20240726KYGRL,Handgun,,
20240725MSWEF,Handgun,BB,Replica handgun
20240725SCJDA,Handgun,Service Weapon,
20240721TXGWH,Handgun,,
20240718WATAT,Handgun,,
20240717PAEDP,Handgun,,
20240716KYWIL,Handgun,,
20240712MDWIU,Handgun,,
20240709CADEF,Handgun,,
20240709TXGRG,Handgun,,
20240707OHIND,,,
20240701MDCOB,Handgun,,
20240630MNROR,Other,BB,Replica AK-47 BB gun
20240623PAWAP,Handgun,,
20240621SCBRE,Handgun,,
20240619NCLIS,Handgun,,
20240615PADOM,Handgun,9mm,
20240615MDPOO,Handgun,,
20240613MABOB,Handgun,,
20240611SCMIG,Handgun,,
20240611OHSOC,Handgun,,
20240610NEELO,Handgun,,
20240610FLPAL,Handgun,,
20240607CACAC,Handgun,,
20240606MOEAM,Handgun,,
20240606MOEAM,Handgun,,
20240606CAMOM,Handgun,9mm,
20240606WAGAS,Handgun,,
20240604FLCEM,Handgun,,
20240604COMID,Handgun,Service Weapon,
20240603WAKEK,Handgun,,
20240606WAGAS2,Rifle,BB,Replica AR-15 air rifle
20240603ILSAC,Handgun,,
20240603NYPSB,Handgun,,
20240603NYPSB,Handgun,,
20240531MIARS,Handgun,,
20240529WALEE,Handgun,,
20240529NYPSQ,Handgun,,
20240529NYPSQ,Handgun,,
20240528ORROP,Handgun,,
20240525IAROD,Handgun,,
20240525IAROD,Handgun,,
20240524NMGAA,Handgun,,
20240524INHEH,Shotgun,,
20240523MTWHB,Other,,Pellet rifle
20240523OHMAC,Handgun,,
20240523MAKIC,Handgun,,
20240523CASKO,Handgun,,
20240523CASKO,Handgun,,
20240523LAWEH,Handgun,,
20240522FLNOC,Handgun,,
20240522NCPUM,,,
20240521MIALG,Handgun,,
20240519MOCAC,Handgun,,
20240518SCBOB,Handgun,,Handgun and baton
20240518MODEK,Handgun,,
20240518OHWIC,Handgun,,
20240518OHMAC,Handgun,,
20240516OHBUC,Other,Pellet,
20240514INMCI,Handgun,.40 caliber,"Glock 23, high capacity 29 round magazine"
20240512TXMAM,Handgun,,
20240510NCWEH,,,
20240510OHAVA,Other,Pellet,Replica AK-47 pellet rifle
20240510TXHAH,Handgun,,
20240510VARIR,Handgun,,
20240509LACOB,Handgun,,
20240508NMSOA,Handgun,,
20240508FLSTL,Handgun,,
20240504NCPAW,Handgun,,
20240504SCNON,Handgun,,
20240504NEOHO,Handgun,,
20240503MDANA,Handgun,,4 teens with handguns
20240503GADED,Handgun,,Revolver
20240503NVLES,Handgun,,
20240503DCDUD,Handgun,,
20240501DCALW,Other,,Gel pellet
20240501MIFRM,Handgun,,
20240501WIMOM,Other,,Ruger airhawk elite pellet rifle
20240430OHGLC,Handgun,,
20240426WVSCS,Other,Pellet,
20240426TNNON,Handgun,,
20240424CAMIC,Other,Pellet,"Pellet gun used, multiple firearms recovered from home"
20240424ORGRD,Other,Pellet,
20240424TXBOA,Handgun,,
20240423ILNER,Handgun,,
20240423UTGRW,Other,,Pellet gun
20240422MOLEL,Other,,Pellet gun
20240422WAWIW,Handgun,,
20240422FLSUR,Handgun,Service Weapon,
20240421NYISB,Handgun,,
20240419LATIT,Handgun,,
20240418WASHS,Handgun,,
20240416TNDUM,Handgun,,
20240416NCVAC,Handgun,,
20240415LAJEJ,Handgun,,
20240415FLYOJ,Handgun,,
20240415FLYOJ,Handgun,,
20240415PAWEW,Handgun,,
20240413NCIRG,Rifle,,
20240413WIMEM,Handgun,,
20240413MOBLB,Handgun,,
20240412FLCHP,Handgun,,
20240412TXWID,Handgun,.38 caliber,Pink Lady .38 revolver
20240404MOROR,,,
20240403NMLYL,Handgun,,
20240402MACAC,Handgun,Service Weapon,
20240401FLELS,Handgun,,
20240326GATUA,Handgun,,
20240326MOCHC,Handgun,,
20240326NJWEN,Handgun,,Modified for full auto fire
20240325HIWAW,Handgun,,
20240322TNTRM,Handgun,,
20240321NJMAN,Handgun,,
20240321CADIP,Handgun,,
20240320NCPEP,Handgun,,
20240320CONOD,,,
20240320OHBOC,Handgun,,Glock with switch
20240320ILBUC,Handgun,,
20240319DETHW,Handgun,,
20240316TNKEC,Handgun,,
20240314OHLOD,Handgun,,
20240313MDFOG,Handgun,,
20240313WAGAS,Handgun,,
20240313MDWIB,Handgun,,
20240311TXCHT,Handgun,,
20240311MASPS,Handgun,,
20240307NYPSB,Handgun,,
20240305INHAL,Handgun,,
20240304TNBRB,Handgun,,
20240302INROR,Multiple Handguns,,Two loaded handguns in backpack
20240302MONOK,Handgun,,
20240301LACAC,Handgun,,
20240229FLFIJ,Handgun,,
20240228NCWAG,Handgun,,
20240228MEWAW,Handgun,,
20240227DESUG,Handgun,,
20240226TXODO,Handgun,,
20240223WVBLB,Handgun,,
20230222NCROL,Rifle,9mm,sawed off semi-auto rifle
20240221CODED,Handgun,,
20240221TXECE,Handgun,Service Weapon,
20240221AZCAT,,,
20240220TXTRA,Handgun,,
20240220ALPEP,Handgun,,
20240220MISAS,Handgun,,
20240219TXPIM,Handgun,.38 caliber,38 special revolver
20240215FLSHC,Other,BB,Air rifle
20240215FLSHC,Other,Pellet,Air rifle
20240214GABEA,,,
20240213TNRAM,Handgun,,
20240212OHBEB,Handgun,,
20240212IDCOI,,,
20240212IDCOI,,,
20240212CAELC,,,
20240211CAMAB,,,
20240209PACOR,Handgun,,
20240209GATRE,Handgun,,
20240208MDBEB,Handgun,,
20240208TNMEN,Handgun,,
20240207ORWIE,,,
2024207TXKUH,,,
20240206TNNOC,,,
20240205GALUA,Handgun,,
20240202AZLAA,Handgun,,
20240201TNHAN,Handgun,,
20240201GAMCP,Handgun,,
20240131CADUD,Other,Pellet,Gel pellet
20240131ILCHC,Multiple Handguns,,
20240130TNBLM,Handgun,,
20240130TNBLM,Handgun,,
20240130INBEB,Handgun,,
20240130CAGRS,Handgun,,
20240130ALLEM,Handgun,,
20240129TXCOA,Handgun,,
20240129TXCOA,Rifle,AK-47,
20240126ILINC,Handgun,,
20240126ALHUH,Handgun,,
20240124TNWEM,Handgun,,
20240122ILCIC,Rifle,,
20240122ILCIC,Handgun,,
20240118MNCOS,Handgun,,"carrying a handgun on his body, unholstered"
20240117VAWED,Handgun,,
20240117INLIG,Handgun,,
20240117MDCHE,Handgun,,
20240113INLAF,Handgun,,
20240112VABEM,Handgun,,
20240112OKHEO,Handgun,,
20240112OHROD,Handgun,,
20240111FLNOM,Handgun,,
20240111LABOB,Handgun,,
20240110WAWHW,Rifle,,
20240109TXACH,Handgun,,
20240108MSSIS,Handgun,,
20240108CARIR,,,
20240104IAPEP,Handgun,.22 caliber,
20240104IAPEP,Shotgun,,Birdshot load
20240103TNFRM,,,
20240103VAMAM,Handgun,,
20240101LABAM,Rifle,.223 caliber,AR-15
20240101LABAM,Handgun,9mm,
20231226RIEME,Handgun,,
20231220TXEAF,Handgun,,
20231220NJKIN,Handgun,,
20231219TXCYK,Handgun,,
20231218VAORC,Other,BB,
20231218INEGH,Handgun,Service Weapon,SROs gun fired by student
20231208MONOS,Handgun,,
20231215CAPAP,Handgun,,
20231215TNLEN,Handgun,,
20231213MIDED,Handgun,,
20231212MICOK,Handgun,,
20231211NYROQ,Handgun,,
20231208NMATA,Handgun,,
20231208VAWOW,Other,BB,
20231208WIBUW,Handgun,,
20231206INLAL,Handgun,,Glock with switch
20231205NCVAH,,,
20231205TXNOA,Handgun,,
20231202VADRA,Handgun,,
20231201OHBUA,Other,Pellet,Replica rifle loaded with real .223 ammo
20231201OHNOC,Handgun,,
20231201DCKIW,Handgun,,
20231130TXBUH,Handgun,,
20231129OHMAT,Handgun,,
20231128TXNOH,Handgun,,
20231126OHEDD,Handgun,,
20231123OHSOC,Handgun,,
20231119ILURU,Handgun,,
20231117LAACL,Handgun,,
20231116CALAW,Other,Pellet,Replica semi-auto rifle
20231116OHSTC,Handgun,,
2023114ILMAP,,,
20231114MILID,Handgun,,
2023113KYJEL,Other,Pellet,
20231113NJCEN,Handgun,,
20231110CAVAV,Handgun,,
20231109NVLAL,Handgun,,
20231109ALESA,Handgun,,
20231108CTLIN,Handgun,,
20231103INKII,Handgun,,
20231102NCFRM,Multiple Handguns,,
20231102OHWAL,Handgun,,
20231102ALSMS,Handgun,9mm,
20231031NVCOL,Handgun,,
20231030NCRAR,Handgun,,
20231028TXDUS,Handgun,Service Weapon,
20231027LADOD,Handgun,,
20231027MDCAB,Handgun,,
20231027MDCAB,Handgun,,
20231027MIDED,Handgun,,
20231026CALEL,Handgun,Service Weapon,
20231026VTMOM,,,
20231026FLNFJ,Handgun,,
20231024MDEDW,Handgun,,
20231023WIKEG,Handgun,,
20231020FLLIT,Other,Airsoft,Replica AR-15
20231020FLFAT,Handgun,,
20231019WAEVV,Handgun,,
20231019ILMAC,Handgun,,
20231019TXNAA,Handgun,,
20231019CAGRF,Handgun,,
20231018WILUW,Handgun,,
20231015OHEAT,Handgun,,
20231015MOKIK,Handgun,,
20231015TXFRD,Handgun,,
20231013FLBOS,Handgun,,
20231013OHCLC,Handgun,,
20231011CAMAL,Handgun,,
20231011FLMIM,Handgun,,
20231011TXSEF,Handgun,,
20231010MOBAS,Handgun,,
20231010NCTEF,Handgun,,
20231010SCDAD,Handgun,,
20231008ILTHD,Handgun,,
20231006MIOAO,Handgun,,
20231006LATHT,Handgun,,
20231004PAMIE,Handgun,9mm,Glock
20231004COROD,Handgun,,
20231004WAGAS,Handgun,,
20231004GASAS,Handgun,,
20231002CAALL,Handgun,,
20231002AZALP,,,
20230930GAGRG,Handgun,,
20230929AKWAW,Rifle,.30-06,
20230929NCDUG,Handgun,,
20230928MDEDE,Handgun,,
20230928GAROC,Handgun,,Hidden in chromebook case
20230925DCSTW,,,
20230925MDDUB,Handgun,,
20230925MDGIB,Handgun,,
20230923OHMAC,Handgun,,
20230922IAOTO,Handgun,,
20230922KYMAL,Handgun,,
20230922TNWEM,Handgun,,
20230922TNSWS,Handgun,,
20230922WIMIM,Handgun,,
20230920ILVOC,,,
20230919TXKEB,Other,BB,
20230919FLWOP,,,
20230919DCROW,,,
20230918MDDUB,Handgun,,
20230916OHEAC,Handgun,,
20230915ILHIC,Handgun,,
20230915KSWYK,Handgun,,
20230915MDJAB,Handgun,,
20230914ILBOU,Multiple Handguns,,2 glocks with laser sights and drum magazines
20230913GALAA,Handgun,,
20230913DCLIW,Handgun,,
20230912WAEIY,,,
20230912LASTG,Handgun,,
20230911MDDUL,Handgun,,
20230911ARPRN,Handgun,,
20230909NYPRU,Handgun,,
20230908NCLUL,Handgun,,
20230906FLANT,Handgun,,
20230905CASKO,Handgun,,
20230901TNMEM,Handgun,,
20230901MDDUB,Handgun,,
20230901ILMOC,Handgun,,
20230901LAPOP,Handgun,,
20230831KSWEW,Other,Pellet,
20230831MSBRB,Rifle,.22 caliber,
20230831WANOD,Multiple Handguns,,
20230829NVCLL,,,
20230826CAFAF,Handgun,,
20230825MSOBG,Multiple Unknown,,
20230825CADRL,,,
20230825OKBOT,Handgun,,
20230825SCGEG,Handgun,,
20230825OKCHC,Handgun,,
20230824NMRAT,,,
20230824VAWAP,,,
20230824VAKEV,,,
20230824AZPHP,Other,BB,
20230822OKSTS,Handgun,,
20230822TNSTC,Handgun,,
20230822TXJES,Handgun,.25 caliber,
20230818GANOK,Handgun,,
20230818CAETR,Handgun,,
20230818GAJOJ,Handgun,,
20230818MSPAP,Handgun,,
20230818FLFIJ,Handgun,,
20230816GAJOA,Handgun,,
20230813NEWON,Handgun,,
20230812MSSTS,Handgun,,
20230810TNCOM,Handgun,,
20230808ILBOC,,,
20230807WAHIS,Handgun,,
20230731TNMAM,Handgun,,
20230726DCMAW,Handgun,,
20230725TNFRM,,,
20230725NCJUC,Handgun,,
20230724PAJOH,Handgun,,
20230718NYFRB,Handgun,,
20230716GALOH,Handgun,,
20230714NYKIT,Handgun,,
20230714TXJAS,Handgun,,
20230708ALWOB,Handgun,,
20230707MDPIP,Handgun,,
20230706OHHUC,,,
20230702MNUNF,Other,BB,Replica Glock bb gun
20230623NMKEA,Handgun,,
20230622ARSOS,,,
20230613PAJUP,Handgun,,
20230612NJRIM,Handgun,,
20230612GAKEC,Handgun,,
20230609DCTUW,,,
20230607VADRA,Handgun,,
20230607WIMIM,,,
20230606VAHUR,Multiple Handguns,,4 handguns recovered from different people at the scene
20230605MIMIW,Handgun,,
20230605MARID,Other,Pellet,
20230602MAWOW,Handgun,,
20230602MDSAE,Handgun,,
20230601TXCAF,Handgun,,
20230531CABAB,Handgun,,
20230528GABEA,Handgun,,
20230526MIHAH,,,
20230526NYMOM,,,
20230525PASAB,Handgun,,
20230525OHBEC,Handgun,,
20230525CABEM,Handgun,,
20230525MNWAM,Handgun,9mm,Glock with 50 round drum mag
20230524NCJHG,Handgun,,
20230524PAOLP,Handgun,9mm,
20230524NCNOD,Rifle,AK-47,
20230523MIYPY,Handgun,,
20230522MASTD,,Service Weapon,
20230522DCKID,Handgun,,
20230521NJCEN,Handgun,,Ghost gun
20230519AZBOP,Rifle,.223 caliber,AR-15 with extra ammo in backpack and lunchbox 
20230519DEFAD,,,
20230519NYPSS,Handgun,,
20230518CACHW,Multiple Unknown,,
20230518WAGAS,Handgun,,
20230517DCTHW,Handgun,,
20230516NJSCP,Handgun,,
20230516OHEAC,Handgun,,
20230516MNDAM,Multiple Handguns,,
20230515ININI,Multiple Handguns,,"Glock 27, 5.7×28 mm"
20230515ORCRP,Other,,Replica glock handgun
20230515CAPIP,Multiple Rifles,,48 guns seized
20230512OHEDD,Handgun,,
20230512OHEDD,Handgun,,
20230512DCKEW,Handgun,,
20230512TNLEL,Handgun,,
20230511MDNOF,Rifle,,
20230511ILNER,Handgun,,
20230510NYPSQ,Handgun,,
20230509CACAO,Handgun,,
20230508SCSUS,Handgun,,
20230508PAEWP,Handgun,,
20230508NVVOL,,,
20230506SCCOL,Handgun,,
20230505INLIE,Handgun,,
20230503NCJOE,Handgun,,
20230502AZRAM,Handgun,,
20230501MDPRS,Handgun,,
20230501MIINF,Handgun,,
20230430KYPAP,Multiple Handguns,,
20230430CAKNP,Handgun,,
20230428TNWEK,Handgun,,
20230427GACHK,,,
20230427VAGER,Handgun,,
20230426MNLIH,Other,Pellet,
20230426CTJON,Handgun,,
20230425NVCOH,Rifle,,
20230425CAKIL,,,
20230423VAJOD,Handgun,,
20230420ARLIL,Handgun,,
20230419FLFOA,Handgun,,
20230418TXRIH,Handgun,,
20230417LASON,,,
20230414AZDEP,,,
20230414WIWAW,Rifle,,AR-15 with extended magazine
20230414PAWOP,,,
20230413ILCHC,Handgun,,
20230412TXLOH,Handgun,,
20230412CACES,Handgun,,
20230407WACHS,Handgun,,
20230406NCSOW,Handgun,,
20230405WANAS,Handgun,,
20230405OHROC,Handgun,,
20230405SCHOG,,,
20230404TXCHH,Handgun,,"3D printed, ghost gun"
20230404OHWOC,,,
20230403PAFAP,Handgun,,
20230331MSGNJ,,,
20230331CAWOC,,,
20230331DCCAD,Handgun,,
20230331CAJAR,,,
20230330NCFOW,Handgun,,Ghost gun
20230329MDBRO,Handgun,,
20230329GANED,Handgun,,
20230331NCLIR,,,
20230327TNCON,Handgun,,Handgun
20230327TNCON,Rifle,,AR-15 style
20230327TNCON,Handgun,,Submachine pistol
20230324INNOM,Handgun,,
20230323TNHAM,Handgun,,
20230322ALANA,Handgun,,
20230324NJTHM,Handgun,,
20230322PAHAP,Handgun,,
20230322COEAD,Handgun,,
20230321TXTHD,Handgun,,
20230320TXLAA,Shotgun,,
20230319ORFOS,Rifle,,
20230316NCLOD,Handgun,,Extended magazine
20230316DCCOW,Handgun,,
20230316NYPSB,Handgun,,
20230315COINB,Handgun,,
20230315CALIG,Handgun,,
20230315MICEW,,,
20231107CABUB,Other,Pellet,Gel pellet
20230313NYPSN,Handgun,,
20230314NYHAN,Handgun,,
20230314NYMAM,Handgun,,
20230309WIBAM,Handgun,,
20230309OHMAM,Handgun,,
20230308WVHIH,,,
20230308PAHEP,Handgun,,
20230307INTHI,Handgun,,
20230306NYPAN,Handgun,,
20230306TXPAA,,,
20230306MDLEB,Handgun,,
20230306MISTR,Handgun,,
20230306MDPAB,Handgun,,
20230303MTGAL,Other,BB,
20230301ILMAM,Other,Pellet,
20230301GASAS,Handgun,,
20230301ILSAC,Handgun,,
20230301CONOP,,,
20230227CAGAC,,,
20230223OHWOC,Handgun,,
20230222COESE,,Service Weapon,
20230221LARUR,,,
20230217NCERE,Handgun,,
20230217ILCAC,,,
20230216TXGAG,Handgun,,
20230215TXDAH,Handgun,,
20230215OHCOC,Handgun,,
20230215MDWAB,,,
20230213COEMD,Handgun,,
20230214GAMID,Handgun,,
20230214PAWEP,Handgun,,
20230213NYPSS,,,
20230213COEAD,,,
20230213TXDAD,,,
20230210CAHEF,Other,Airsoft,
20230208NYWIB,Handgun,,
20230206ARKIF,Handgun,,
20230206DEAPM,Handgun,,
20230206FLMIM,Handgun,,
20230202UTPAS,Handgun,,
20230202OHRIP,Handgun,,
20230131ILZIZ,Handgun,,Full automatic
20230131OKGEG,Rifle,,
20230130ALHOM,,,
20230130DCCOW,Handgun,,
20230130AZGIY,Handgun,,
20230128MOGLS,Handgun,,
20230127NJHOW,Other,,Flare gun
20230126UTTAT,Handgun,,
20230125OHTOT,,,
20230124MOTHK,,,
20230123TXABA,Other,BB,
20230123IASTD,Handgun,9mm,
20230122WAMOT,,,
20230121FLGLB,Handgun,,
20230120MNWAS,Handgun,,
20230119NYEAB,Handgun,,
